選手番号,個人情報url,選手名,選手名読み,所属球団,背番号,ポジション,出身地,生年月日,身長,体重,血液型,投打,ドラフト年,ドラフト順位,経歴,出身高校,所属チーム,birthday,主な獲得タイトル
1700027,https://baseball.yahoo.co.jp/npb/player/1700027/top,田中 瑛斗,タナカ エイト,読売ジャイアンツ,45,投手,大分,1999年7月13日,184cm,84kg,A,右投げ左打ち,2017年,3位,柳ケ浦高－日本ハム－巨人,柳ケ浦高,巨人,1999-7-13,
2108022,https://baseball.yahoo.co.jp/npb/player/2108022/top,又木 鉄平,マタキ テッペイ,読売ジャイアンツ,46,投手,山梨,1999年2月12日,182cm,92kg,A,左投げ左打ち,2023年,5位,日川高－東京情報大－日本生命－巨人,日川高,巨人,1999-2-12,
1450977,https://baseball.yahoo.co.jp/npb/player/1450977/top,森田 駿哉,モリタ シュンヤ,読売ジャイアンツ,47,投手,富山,1997年2月11日,185cm,88kg,B,左投げ左打ち,2023年,2位,富山商高（甲）－法政大－Honda鈴鹿－巨人,富山商高,巨人,1997-2-11,
2107899,https://baseball.yahoo.co.jp/npb/player/2107899/top,田中 千晴,タナカ チハル,読売ジャイアンツ,48,投手,大阪,2000年9月21日,189cm,85kg,O,右投げ右打ち,2022年,3位,浪速高－国学院大－巨人,浪速高,巨人,2000-9-21,
1561778,https://baseball.yahoo.co.jp/npb/player/1561778/top,バルドナード,バルドナード,読売ジャイアンツ,49,投手,パナマ,1993年2月1日,196cm,122kg,不明,左投げ左打ち,--,--,サン・ホゼ・ラ・サール校－ナショナルズ－3Aロチェスター－巨人,サン・ホゼ・ラ・サール校,巨人,1993-2-1,
1600100,https://baseball.yahoo.co.jp/npb/player/1600100/top,高梨 雄平,タカナシ ユウヘイ,読売ジャイアンツ,53,投手,埼玉,1992年7月13日,175cm,86kg,O,左投げ左打ち,2016年,9位,川越東高－早稲田大－JX-ENEOS－楽天－巨人,川越東高,巨人,1992-7-13,
2117397,https://baseball.yahoo.co.jp/npb/player/2117397/top,宮原 駿介,ミヤハラ シュンスケ,読売ジャイアンツ,57,投手,神奈川,2002年9月12日,174cm,85kg,B,左投げ左打ち,2024年,5位,静岡学園高－東海大静岡キャンパス－巨人,静岡学園高,巨人,2002-9-12,
1450689,https://baseball.yahoo.co.jp/npb/player/1450689/top,船迫 大雅,フナバサマ ヒロマサ,読売ジャイアンツ,58,投手,宮城,1996年10月16日,174cm,77kg,B,右投げ左打ち,2022年,5位,聖光学院高（甲）－東日本国際大－西濃運輸－巨人,聖光学院高,巨人,1996-10-16,（新）24
1800026,https://baseball.yahoo.co.jp/npb/player/1800026/top,横川 凱,ヨコガワ カイ,読売ジャイアンツ,62,投手,滋賀,2000年8月30日,190cm,98kg,B,左投げ左打ち,2018年,4位,大阪桐蔭高（甲）－巨人,大阪桐蔭高,巨人,2000-8-30,
1800111,https://baseball.yahoo.co.jp/npb/player/1800111/top,泉 圭輔,イズミ ケイスケ,読売ジャイアンツ,63,投手,石川,1997年3月2日,188cm,80kg,A,右投げ右打ち,2018年,6位,金沢西高－金沢星稜大－ソフトバンク－巨人,金沢西高,巨人,1997-3-2,
1600064,https://baseball.yahoo.co.jp/npb/player/1600064/top,大江 竜聖,オオエ リュウセイ,読売ジャイアンツ,64,投手,神奈川,1999年1月15日,173cm,82kg,A,左投げ左打ち,2016年,6位,二松学舎大付高（甲）－巨人,二松学舎大付高,巨人,1999-1-15,
2000040,https://baseball.yahoo.co.jp/npb/player/2000040/top,石川 達也,イシカワ タツヤ,読売ジャイアンツ,65,投手,神奈川,1998年4月15日,178cm,75kg,A,左投げ右打ち,2020年,（育）1位,横浜高（甲）－法政大－DeNA－巨人,横浜高,巨人,1998-4-15,
2000005,https://baseball.yahoo.co.jp/npb/player/2000005/top,平内 龍太,ヘイナイ リュウタ,読売ジャイアンツ,66,投手,兵庫,1998年8月1日,185cm,99kg,A,右投げ右打ち,2020年,1位,神戸国際大付高－亜細亜大－巨人,神戸国際大付高,巨人,1998-8-1,
2117689,https://baseball.yahoo.co.jp/npb/player/2117689/top,石田 充冴,イシダ ジュウザ,読売ジャイアンツ,90,投手,北海道,2006年7月21日,192cm,87kg,O,右投げ右打ち,2024年,4位,北星大付高－巨人,北星大付高,巨人,2006-7-21,
1900016,https://baseball.yahoo.co.jp/npb/player/1900016/top,堀田 賢慎,ホッタ ケンシン,読売ジャイアンツ,91,投手,岩手,2001年5月21日,186cm,88kg,O,右投げ右打ち,2019年,1位,青森山田高－巨人,青森山田高,巨人,2001-5-21,
1700010,https://baseball.yahoo.co.jp/npb/player/1700010/top,マルティネス,マルティネス,読売ジャイアンツ,92,投手,キューバ,1996年10月11日,193cm,93kg,不明,右投げ左打ち,--,--,エイデデピナールデルリオ高－キューバ・ピナールデルリオ－中日－巨人,エイデデピナールデルリオ高,巨人,1996-10-11,（セ）22、24
1900019,https://baseball.yahoo.co.jp/npb/player/1900019/top,井上 温大,イノウエ ハルト,読売ジャイアンツ,97,投手,群馬,2001年5月13日,175cm,78kg,B,左投げ左打ち,2019年,4位,前橋商高－巨人,前橋商高,巨人,2001-5-13,
2100478,https://baseball.yahoo.co.jp/npb/player/2100478/top,京本 眞,キョウモト マコト,読売ジャイアンツ,99,投手,大阪,2004年2月6日,189cm,80kg,A,右投げ右打ち,2021年,（育）7位,明豊高（甲）－巨人,明豊高,巨人,2004-2-6,
2103705,https://baseball.yahoo.co.jp/npb/player/2103705/top,菊地 大稀,キクチ タイキ,読売ジャイアンツ,001,投手,新潟,1999年6月2日,186cm,89kg,O,右投げ左打ち,2021年,（育）6位,佐渡高－桐蔭横浜大－巨人,佐渡高,巨人,1999-6-2,
1750087,https://baseball.yahoo.co.jp/npb/player/1750087/top,山田 龍聖,ヤマダ リュウセイ,読売ジャイアンツ,011,投手,富山,2000年9月7日,183cm,82kg,B,左投げ左打ち,2021年,2位,高岡商高（甲）－JR東日本－巨人,高岡商高,巨人,2000-9-7,
2112144,https://baseball.yahoo.co.jp/npb/player/2112144/top,三浦 克也,ミウラ カツナリ,読売ジャイアンツ,012,投手,富山,2001年4月28日,179cm,80kg,A,左投げ左打ち,2023年,（育）1位,高岡向陵高－東京国際大－巨人,高岡向陵高,巨人,2001-4-28,
2111182,https://baseball.yahoo.co.jp/npb/player/2111182/top,堀江 正太郎,ホリエ ショウタロウ,読売ジャイアンツ,014,投手,東京,2006年10月8日,188cm,91kg,O,右投げ右打ち,2024年,（育）2位,文星芸大付高（甲）－巨人,文星芸大付高,巨人,2006-10-8,
2117727,https://baseball.yahoo.co.jp/npb/player/2117727/top,鈴木 圭晋,スズキ ケイシン,読売ジャイアンツ,015,投手,神奈川,2006年7月9日,182cm,85kg,B,右投げ左打ち,2024年,（育）3位,横浜創学館高－巨人,横浜創学館高,巨人,2006-7-9,
2112123,https://baseball.yahoo.co.jp/npb/player/2112123/top,千葉 隆広,チバ タカヒロ,読売ジャイアンツ,016,投手,北海道,2005年5月15日,175cm,77kg,AB,左投げ左打ち,2023年,（育）6位,旭川明成高－巨人,旭川明成高,巨人,2005-5-15,
2000015,https://baseball.yahoo.co.jp/npb/player/2000015/top,木下 幹也,キノシタ モトヤ,読売ジャイアンツ,018,投手,東京,2002年5月1日,185cm,92kg,A,右投げ右打ち,2020年,（育）4位,横浜高（甲）－巨人,横浜高,巨人,2002-5-1,
2112163,https://baseball.yahoo.co.jp/npb/player/2112163/top,園田 純規,ソノダ アツキ,読売ジャイアンツ,019,投手,福岡,2005年7月7日,183cm,72kg,A,右投げ右打ち,2023年,（育）5位,福岡工大城東高－巨人,福岡工大城東高,巨人,2005-7-7,
2000018,https://baseball.yahoo.co.jp/npb/player/2000018/top,戸田 懐生,トダ ナツキ,読売ジャイアンツ,020,投手,愛知,2000年7月22日,170cm,73kg,A,右投げ右打ち,2020年,（育）7位,東海大菅生高中退（甲）－KTCおおぞら高－四国ILplus・徳島－巨人,東海大菅生高中退,巨人,2000-7-22,
1850809,https://baseball.yahoo.co.jp/npb/player/1850809/top,松井 颯,マツイ ハヤテ,読売ジャイアンツ,021,投手,東京,2000年9月14日,178cm,83kg,A,右投げ右打ち,2022年,（育）1位,花咲徳栄高（甲）－明星大－巨人,花咲徳栄高,巨人,2000-9-14,
2107867,https://baseball.yahoo.co.jp/npb/player/2107867/top,田村 朋輝,タムラ トモキ,読売ジャイアンツ,023,投手,東京,2004年4月6日,184cm,81kg,A,右投げ右打ち,2022年,（育）2位,酒田南高－巨人,酒田南高,巨人,2004-4-6,
2102924,https://baseball.yahoo.co.jp/npb/player/2102924/top,吉村 優聖歩,ヨシムラ ユウセフ,読売ジャイアンツ,026,投手,熊本,2004年12月8日,181cm,73kg,B,左投げ左打ち,2022年,（育）3位,明徳義塾高（甲）－巨人,明徳義塾高,巨人,2004-12-8,
2103725,https://baseball.yahoo.co.jp/npb/player/2103725/top,富田 龍,トミダ リュウ,読売ジャイアンツ,028,投手,香川,1999年11月11日,179cm,78kg,O,左投げ左打ち,2021年,（育）8位,志度高－四国学院大－巨人,志度高,巨人,1999-11-11,
2117692,https://baseball.yahoo.co.jp/npb/player/2117692/top,西川 歩,ニシカワ アユム,読売ジャイアンツ,029,投手,埼玉,2006年11月15日,169cm,75kg,AB,左投げ左打ち,2024年,（育）5位,山村学園高－巨人,山村学園高,巨人,2006-11-15,
2117711,https://baseball.yahoo.co.jp/npb/player/2117711/top,吹田 志道,フキタ シドウ,読売ジャイアンツ,030,投手,青森,2007年2月21日,188cm,84kg,B,右投げ右打ち,2024年,（育）4位,弘前学院聖愛高－巨人,弘前学院聖愛高,巨人,2007-2-21,
2106455,https://baseball.yahoo.co.jp/npb/player/2106455/top,森本 哲星,モリモト テッセイ,読売ジャイアンツ,034,投手,鳥取,2004年9月3日,175cm,73kg,B,左投げ左打ち,2022年,（育）9位,市船橋高（甲）－巨人,市船橋高,巨人,2004-9-3,
1960444,https://baseball.yahoo.co.jp/npb/player/1960444/top,ルシアーノ,ルシアーノ,読売ジャイアンツ,035,投手,ドミニカ共和国,2000年2月15日,190cm,95kg,不明,右投げ右打ち,--,--,ビタリーナ・モルダン・デ・クルーズ校－ブルージェイズ－2Aニューハンプシャー－巨人,ビタリーナ・モルダン・デ・クルーズ校,巨人,2000-2-15,
2114860,https://baseball.yahoo.co.jp/npb/player/2114860/top,黄 錦豪,ファン ジンハオ,読売ジャイアンツ,041,投手,台湾,2005年12月4日,184cm,77kg,不明,左投げ左打ち,--,--,平鎮高－巨人,平鎮高,巨人,2005-12-4,
2050445,https://baseball.yahoo.co.jp/npb/player/2050445/top,鴨打 瑛二,カモウチ エイジ,読売ジャイアンツ,047,投手,佐賀,2004年2月29日,195cm,90kg,O,左投げ左打ち,2021年,（育）5位,創成館高－巨人,創成館高,巨人,2004-2-29,
1800025,https://baseball.yahoo.co.jp/npb/player/1800025/top,直江 大輔,ナオエ ダイスケ,読売ジャイアンツ,054,投手,長野,2000年6月20日,185cm,87kg,A,右投げ右打ち,2018年,3位,松商学園高（甲）－巨人,松商学園高,巨人,2000-6-20,
2050382,https://baseball.yahoo.co.jp/npb/player/2050382/top,花田 侑樹,ハナダ ユウキ,読売ジャイアンツ,063,投手,広島,2003年6月25日,181cm,74kg,AB,右投げ左打ち,2021年,7位,広島新庄高（甲）－巨人,広島新庄高,巨人,2003-6-25,
2050423,https://baseball.yahoo.co.jp/npb/player/2050423/top,代木 大和,シロキ ヤマト,読売ジャイアンツ,068,投手,愛媛,2003年9月8日,184cm,92kg,O,左投げ左打ち,2021年,6位,明徳義塾高（甲）－巨人,明徳義塾高,巨人,2003-9-8,
1950832,https://baseball.yahoo.co.jp/npb/player/1950832/top,石田 隼都,イシタ ハヤト,読売ジャイアンツ,077,投手,栃木,2003年4月5日,183cm,85kg,A,左投げ左打ち,2021年,4位,東海大相模高（甲）－巨人,東海大相模高,巨人,2003-4-5,
1000176,https://baseball.yahoo.co.jp/npb/player/1000176/top,甲斐 拓也,カイ タクヤ,読売ジャイアンツ,10,捕手,大分,1992年11月5日,170cm,87kg,O,右投げ右打ち,2010年,（育）6位,楊志館高－ソフトバンク－巨人,楊志館高,巨人,1992-11-5,（ベ）17、20、22（ゴ）17～22、24
1300027,https://baseball.yahoo.co.jp/npb/player/1300027/top,小林 誠司,コバヤシ セイジ,読売ジャイアンツ,22,捕手,大阪,1989年6月7日,178cm,86kg,O,右投げ右打ち,2013年,1位,広陵高（甲）－同志社大－日本生命－巨人,広陵高,巨人,1989-6-7,（ゴ）17
1700044,https://baseball.yahoo.co.jp/npb/player/1700044/top,大城 卓三,オオシロ タクミ,読売ジャイアンツ,24,捕手,沖縄,1993年2月11日,187cm,90kg,B,右投げ左打ち,2017年,3位,東海大相模高（甲）－東海大－NTT西日本－巨人,東海大相模高,巨人,1993-2-11,（ベ）20、23
1700043,https://baseball.yahoo.co.jp/npb/player/1700043/top,岸田 行倫,キシダ ユキノリ,読売ジャイアンツ,27,捕手,兵庫,1996年10月10日,176cm,88kg,A,右投げ右打ち,2017年,2位,報徳学園高（甲）－大阪ガス－巨人,報徳学園高,巨人,1996-10-10,
1600138,https://baseball.yahoo.co.jp/npb/player/1600138/top,郡 拓也,コオリ タクヤ,読売ジャイアンツ,37,捕手,東京,1998年4月25日,179cm,88kg,B,右投げ右打ち,2016年,7位,帝京高－日本ハム－巨人,帝京高,巨人,1998-4-25,
1900020,https://baseball.yahoo.co.jp/npb/player/1900020/top,山瀬 慎之助,ヤマセ シンノスケ,読売ジャイアンツ,67,捕手,石川,2001年5月4日,177cm,89kg,B,右投げ右打ち,2019年,5位,星稜高（甲）－巨人,星稜高,巨人,2001-5-4,
2000013,https://baseball.yahoo.co.jp/npb/player/2000013/top,喜多 隆介,キタ リュウスケ,読売ジャイアンツ,94,捕手,石川,1998年8月25日,179cm,83kg,A,右投げ右打ち,2020年,（育）2位,小松大谷高－京都先端科学大－巨人,小松大谷高,巨人,1998-8-25,
1700049,https://baseball.yahoo.co.jp/npb/player/1700049/top,湯浅 大,ユアサ ダイ,読売ジャイアンツ,00,内野手,群馬,2000年1月24日,172cm,73kg,A,右投げ右打ち,2017年,8位,健大高崎高（甲）－巨人,健大高崎高,巨人,2000-1-24,
1500054,https://baseball.yahoo.co.jp/npb/player/1500054/top,増田 大輝,マスダ ダイキ,読売ジャイアンツ,0,内野手,徳島,1993年7月29日,172cm,68kg,A,右投げ右打ち,2015年,（育）1位,小松島高－近畿大中退－四国ILplus・徳島－巨人,小松島高,巨人,1993-7-29,
1600059,https://baseball.yahoo.co.jp/npb/player/1600059/top,吉川 尚輝,ヨシカワ ナオキ,読売ジャイアンツ,2,内野手,岐阜,1995年2月8日,177cm,78kg,A,右投げ左打ち,2016年,1位,岐阜・中京高－中京学院大－巨人,岐阜・中京高,巨人,1995-2-8,（ベ）24（ゴ）24
2107874,https://baseball.yahoo.co.jp/npb/player/2107874/top,門脇 誠,カドワキ マコト,読売ジャイアンツ,5,内野手,奈良,2001年1月24日,171cm,76kg,A,右投げ左打ち,2022年,4位,創価高－創価大－巨人,創価高,巨人,2001-1-24,
700003,https://baseball.yahoo.co.jp/npb/player/700003/top,坂本 勇人,サカモト ハヤト,読売ジャイアンツ,6,内野手,兵庫,1988年12月14日,186cm,86kg,AB,右投げ右打ち,2006年,（高）1巡目,光星学院高（甲）－巨人,光星学院高,巨人,1988-12-14,（首）16（安）12（出）16（優）19（ベ）09、12、16、18～21（ゴ）16、17、19～21、24
2116069,https://baseball.yahoo.co.jp/npb/player/2116069/top,石塚 裕惺,イシヅカ ユウセイ,読売ジャイアンツ,23,内野手,千葉,2006年4月6日,182cm,84kg,B,右投げ右打ち,2024年,1位,花咲徳栄高（甲）－巨人,花咲徳栄高,巨人,2006-4-6,
1400101,https://baseball.yahoo.co.jp/npb/player/1400101/top,岡本 和真,オカモト カズマ,読売ジャイアンツ,25,内野手,奈良,1996年6月30日,186cm,100kg,A,右投げ右打ち,2014年,1位,智弁学園高（甲）－巨人,智弁学園高,巨人,1996-6-30,（本）20、21、23（点）20、21（ベ）20、24（ゴ）21、22、24
1951153,https://baseball.yahoo.co.jp/npb/player/1951153/top,浦田 俊輔,ウラタ シュンスケ,読売ジャイアンツ,32,内野手,長崎,2002年8月30日,171cm,67kg,O,右投げ左打ち,2024年,2位,長崎・海星高（甲）－九州産業大－巨人,長崎・海星高,巨人,2002-8-30,
1750321,https://baseball.yahoo.co.jp/npb/player/1750321/top,泉口 友汰,イズグチ ユウタ,読売ジャイアンツ,35,内野手,和歌山,1999年5月17日,178cm,80kg,O,右投げ左打ち,2023年,4位,大阪桐蔭高（甲）－青山学院大－NTT西日本－巨人,大阪桐蔭高,巨人,1999-5-17,
2000007,https://baseball.yahoo.co.jp/npb/player/2000007/top,中山 礼都,ナカヤマ ライト,読売ジャイアンツ,40,内野手,愛知,2002年4月12日,182cm,82kg,A,右投げ左打ち,2020年,3位,中京大中京高（甲）－巨人,中京大中京高,巨人,2002-4-12,
2000009,https://baseball.yahoo.co.jp/npb/player/2000009/top,秋広 優人,アキヒロ ユウト,読売ジャイアンツ,55,内野手,千葉,2002年9月17日,200cm,100kg,A,右投げ左打ち,2020年,5位,二松学舎大付高－巨人,二松学舎大付高,巨人,2002-9-17,
2108523,https://baseball.yahoo.co.jp/npb/player/2108523/top,荒巻 悠,アラマキ ユウ,読売ジャイアンツ,60,内野手,福岡,2002年12月23日,184cm,93kg,O,右投げ左打ち,2024年,3位,祐誠高－上武大－巨人,祐誠高,巨人,2002-12-23,
1800024,https://baseball.yahoo.co.jp/npb/player/1800024/top,増田 陸,マスダ リク,読売ジャイアンツ,61,内野手,大阪,2000年6月17日,179cm,88kg,A,右投げ右打ち,2018年,2位,明秀日立高（甲）－巨人,明秀日立高,巨人,2000-6-17,
900397,https://baseball.yahoo.co.jp/npb/player/900397/top,長野 久義,チョウノ ヒサヨシ,読売ジャイアンツ,7,外野手,佐賀,1984年12月6日,180cm,85kg,O,右投げ右打ち,2009年,1位,筑陽学園高－日本大－Honda－巨人－広島－巨人,筑陽学園高,巨人,1984-12-6,（首）11（安）12（新）10（ベ）11～13（ゴ）11～13
800043,https://baseball.yahoo.co.jp/npb/player/800043/top,丸 佳浩,マル ヨシヒロ,読売ジャイアンツ,8,外野手,千葉,1989年4月11日,177cm,94kg,AB,右投げ左打ち,2007年,（高）3巡目,千葉経大付高（甲）－広島－巨人,千葉経大付高,巨人,1989-4-11,（安）17（盗）13（出）18（優）17、18（ベ）14、16～20（ゴ）13～19
2105013,https://baseball.yahoo.co.jp/npb/player/2105013/top,萩尾 匡也,ハギオ マサヤ,読売ジャイアンツ,12,外野手,熊本,2000年12月28日,180cm,85kg,B,右投げ右打ち,2022年,2位,文徳高－慶応大－巨人,文徳高,巨人,2000-12-28,
2118420,https://baseball.yahoo.co.jp/npb/player/2118420/top,キャベッジ,キャベッジ,読売ジャイアンツ,13,外野手,アメリカ,1997年5月3日,188cm,92kg,不明,右投げ左打ち,--,--,グレインジャー高－エンゼルス－アストロズ－パイレーツ－巨人,グレインジャー高,巨人,1997-5-3,
1651302,https://baseball.yahoo.co.jp/npb/player/1651302/top,岡田 悠希,オカダ ユウキ,読売ジャイアンツ,38,外野手,広島,2000年1月19日,183cm,84kg,O,右投げ左打ち,2021年,5位,龍谷大平安高（甲）－法政大－巨人,龍谷大平安高,巨人,2000-1-19,
1961425,https://baseball.yahoo.co.jp/npb/player/1961425/top,ヘルナンデス,ヘルナンデス,読売ジャイアンツ,42,外野手,ドミニカ共和国,1994年11月21日,185cm,89kg,不明,右投げ右打ち,--,--,アメリコルーゴ高－レンジャーズ－3Aラウンドロック－巨人,アメリコルーゴ高,巨人,1994-11-21,
1500047,https://baseball.yahoo.co.jp/npb/player/1500047/top,重信 慎之介,シゲノブ シンノスケ,読売ジャイアンツ,43,外野手,千葉,1993年4月17日,173cm,74kg,A,右投げ左打ち,2015年,2位,早稲田実高（甲）－早稲田大－巨人,早稲田実高,巨人,1993-4-17,
2106178,https://baseball.yahoo.co.jp/npb/player/2106178/top,佐々木 俊輔,ササキ シュンスケ,読売ジャイアンツ,44,外野手,東京,1999年11月6日,174cm,80kg,A,右投げ左打ち,2023年,3位,帝京高－東洋大－日立製作所－巨人,帝京高,巨人,1999-11-6,
1600001,https://baseball.yahoo.co.jp/npb/player/1600001/top,オコエ 瑠偉,オコエ ルイ,読売ジャイアンツ,50,外野手,東京,1997年7月21日,185cm,90kg,O,右投げ右打ち,2015年,1位,関東第一高（甲）－楽天－巨人,関東第一高,巨人,1997-7-21,
2102410,https://baseball.yahoo.co.jp/npb/player/2102410/top,浅野 翔吾,アサノ ショウゴ,読売ジャイアンツ,51,外野手,香川,2004年11月24日,171cm,86kg,A,右投げ右打ち,2022年,1位,高松商高（甲）－巨人,高松商高,巨人,2004-11-24,
2000070,https://baseball.yahoo.co.jp/npb/player/2000070/top,若林 楽人,ワカバヤシ ガクト,読売ジャイアンツ,59,外野手,北海道,1998年4月13日,177cm,75kg,B,右投げ右打ち,2020年,4位,駒大苫小牧高－駒沢大－西武－巨人,駒大苫小牧高,巨人,1998-4-13,
2000017,https://baseball.yahoo.co.jp/npb/player/2000017/top,坂本 勇人,サカモト ハヤト,読売ジャイアンツ,006,捕手,佐賀,2002年4月15日,177cm,84kg,A,右投げ右打ち,2020年,（育）6位,唐津商高－巨人,唐津商高,巨人,2002-4-15,
2100010,https://baseball.yahoo.co.jp/npb/player/2100010/top,大津 綾也,オオツ リョウヤ,読売ジャイアンツ,010,捕手,北海道,2003年5月28日,174cm,72kg,AB,右投げ右打ち,2021年,（育）10位,北海高（甲）－巨人,北海高,巨人,2003-5-28,
1550940,https://baseball.yahoo.co.jp/npb/player/1550940/top,亀田 啓太,カメダ ケイタ,読売ジャイアンツ,022,捕手,神奈川,1999年4月9日,183cm,94kg,O,右投げ右打ち,2021年,（育）3位,東海大甲府高（甲）－東海大－巨人,東海大甲府高,巨人,1999-4-9,
2110140,https://baseball.yahoo.co.jp/npb/player/2110140/top,坂本 達也,サカモト タツヤ,読売ジャイアンツ,024,捕手,福岡,2002年8月31日,173cm,76kg,A,右投げ右打ち,2024年,（育）1位,博多工高－富士大－巨人,博多工高,巨人,2002-8-31,
2107864,https://baseball.yahoo.co.jp/npb/player/2107864/top,中田 歩夢,ナカタ アユム,読売ジャイアンツ,002,内野手,青森,2004年6月27日,172cm,77kg,A,右投げ右打ち,2022年,（育）4位,東奥義塾高－巨人,東奥義塾高,巨人,2004-6-27,
2112151,https://baseball.yahoo.co.jp/npb/player/2112151/top,村山 源,ムラヤマ ゲン,読売ジャイアンツ,004,内野手,鹿児島,2005年6月27日,179cm,63kg,O,右投げ右打ち,2023年,（育）2位,鹿屋中央高－巨人,鹿屋中央高,巨人,2005-6-27,
2112157,https://baseball.yahoo.co.jp/npb/player/2112157/top,田上 優弥,タノウエ ユウヤ,読売ジャイアンツ,005,内野手,神奈川,2005年6月8日,181cm,82kg,O,右投げ右打ち,2023年,（育）4位,日大藤沢高－巨人,日大藤沢高,巨人,2005-6-8,
2107764,https://baseball.yahoo.co.jp/npb/player/2107764/top,宇都宮 葵星,ウツノミヤ キサラ,読売ジャイアンツ,007,内野手,愛媛,2004年6月23日,176cm,66kg,A,右投げ左打ち,2023年,（育）3位,松山工高－四国ILplus・愛媛－巨人,松山工高,巨人,2004-6-23,
2107881,https://baseball.yahoo.co.jp/npb/player/2107881/top,相澤 白虎,アイザワ ハクト,読売ジャイアンツ,008,内野手,埼玉,2004年5月28日,178cm,82kg,A,右投げ右打ち,2022年,（育）5位,桐蔭学園高－巨人,桐蔭学園高,巨人,2004-5-28,
