選手番号,個人情報url,選手名,選手名読み,所属球団,背番号,ポジション,出身地,生年月日,身長,体重,血液型,投打,ドラフト年,ドラフト順位,経歴,出身高校,出身大学,所属チーム,birthday,主な獲得タイトル
2119000,https://baseball.yahoo.co.jp/npb/player/2119000/top,山城 京平,山城 京平,読売ジャイアンツ,36,投手,沖縄,2003年9月20日,174cm,70kg,A,左投左打,2025年,3位,興南高－亜細亜大－巨人,興南高,亜細亜大,巨人,2003-9-20,
1500052,https://baseball.yahoo.co.jp/npb/player/1500052/top,中川 皓太,中川 皓太,読売ジャイアンツ,41,投手,大阪,1994年2月24日,183cm,86kg,A,左投左打,2015年,7位,山陽高－東海大－巨人,山陽高,東海大,巨人,1994-2-24,
2122496,https://baseball.yahoo.co.jp/npb/player/2122496/top,マタ,マタ,読売ジャイアンツ,42,投手,ベネズエラ,1999年5月3日,190cm,101kg,不明,右投右打,--,--,マダリアガUEP校－3Aウースター－巨人,マダリアガUEP校,,巨人,1999-5-3,
1200117,https://baseball.yahoo.co.jp/npb/player/1200117/top,則本 昂大,則本 昂大,読売ジャイアンツ,43,投手,滋賀,1990年12月17日,178cm,89kg,A,右投左打,2012年,2位,八幡商高－三重中京大－楽天－巨人,八幡商高,三重中京大,巨人,1990-12-17,（振）14～18（セ）24（新）13
1700027,https://baseball.yahoo.co.jp/npb/player/1700027/top,田中 瑛斗,田中 瑛斗,読売ジャイアンツ,45,投手,大分,1999年7月13日,184cm,84kg,A,右投左打,2017年,3位,柳ケ浦高－日本ハム－巨人,柳ケ浦高,,巨人,1999-7-13,
2108022,https://baseball.yahoo.co.jp/npb/player/2108022/top,又木 鉄平,又木 鉄平,読売ジャイアンツ,46,投手,山梨,1999年2月12日,182cm,95kg,A,左投左打,2023年,5位,日川高－東京情報大－日本生命－巨人,日川高,東京情報大,巨人,1999-2-12,
1450977,https://baseball.yahoo.co.jp/npb/player/1450977/top,森田 駿哉,森田 駿哉,読売ジャイアンツ,47,投手,富山,1997年2月11日,185cm,88kg,B,左投左打,2023年,2位,富山商高（甲）－法政大－Honda鈴鹿－巨人,富山商高,法政大,巨人,1997-2-11,
1960444,https://baseball.yahoo.co.jp/npb/player/1960444/top,ルシアーノ,ルシアーノ,読売ジャイアンツ,48,投手,ドミニカ共和国,2000年2月15日,190cm,95kg,不明,右投右打,--,--,ビタリーナ・モルダン・デ・クルーズ校－ブルージェイズ－2Aニューハンプシャー－巨人,ビタリーナ・モルダン・デ・クルーズ校,,巨人,2000-2-15,
1561778,https://baseball.yahoo.co.jp/npb/player/1561778/top,バルドナード,バルドナード,読売ジャイアンツ,49,投手,パナマ,1993年2月1日,196cm,122kg,不明,左投左打,--,--,サン・ホゼ・ラ・サール校－ナショナルズ－3Aロチェスター－巨人,サン・ホゼ・ラ・サール校,,巨人,1993-2-1,
1600100,https://baseball.yahoo.co.jp/npb/player/1600100/top,高梨 雄平,高梨 雄平,読売ジャイアンツ,53,投手,埼玉,1992年7月13日,175cm,86kg,O,左投左打,2016年,9位,川越東高－早稲田大－JX-ENEOS－楽天－巨人,川越東高,早稲田大,巨人,1992-7-13,
2050261,https://baseball.yahoo.co.jp/npb/player/2050261/top,松浦 慶斗,松浦 慶斗,読売ジャイアンツ,54,投手,宮城,2003年7月1日,187cm,100kg,A,左投左打,2021年,7位,大阪桐蔭高（甲）－日本ハム－巨人,大阪桐蔭高,,巨人,2003-7-1,
1700029,https://baseball.yahoo.co.jp/npb/player/1700029/top,北浦 竜次,北浦 竜次,読売ジャイアンツ,56,投手,栃木,2000年1月12日,184cm,103kg,AB,左投左打,2017年,5位,白鴎大足利高－日本ハム－巨人,白鴎大足利高,,巨人,2000-1-12,
2117397,https://baseball.yahoo.co.jp/npb/player/2117397/top,宮原 駿介,宮原 駿介,読売ジャイアンツ,57,投手,神奈川,2002年9月12日,174cm,85kg,B,左投左打,2024年,5位,静岡学園高－東海大静岡キャンパス－巨人,静岡学園高,,巨人,2002-9-12,
1450689,https://baseball.yahoo.co.jp/npb/player/1450689/top,船迫 大雅,船迫 大雅,読売ジャイアンツ,58,投手,宮城,1996年10月16日,174cm,80kg,B,右投左打,2022年,5位,聖光学院高（甲）－東日本国際大－西濃運輸－巨人,聖光学院高,東日本国際大,巨人,1996-10-16,（新）24
1800026,https://baseball.yahoo.co.jp/npb/player/1800026/top,横川 凱,横川 凱,読売ジャイアンツ,62,投手,滋賀,2000年8月30日,190cm,98kg,B,左投左打,2018年,4位,大阪桐蔭高（甲）－巨人,大阪桐蔭高,,巨人,2000-8-30,
1800111,https://baseball.yahoo.co.jp/npb/player/1800111/top,泉 圭輔,泉 圭輔,読売ジャイアンツ,63,投手,石川,1997年3月2日,188cm,87kg,A,右投右打,2018年,6位,金沢西高－金沢星稜大－ソフトバンク－巨人,金沢西高,金沢星稜大,巨人,1997-3-2,
1750087,https://baseball.yahoo.co.jp/npb/player/1750087/top,山田 龍聖,山田 龍聖,読売ジャイアンツ,64,投手,富山,2000年9月7日,184cm,92kg,B,左投左打,2021年,2位,高岡商高（甲）－JR東日本－巨人,高岡商高,,巨人,2000-9-7,
2000040,https://baseball.yahoo.co.jp/npb/player/2000040/top,石川 達也,石川 達也,読売ジャイアンツ,65,投手,神奈川,1998年4月15日,178cm,83kg,A,左投右打,2020年,（育）1位,横浜高（甲）－法政大－DeNA－巨人,横浜高,法政大,巨人,1998-4-15,
2000005,https://baseball.yahoo.co.jp/npb/player/2000005/top,平内 龍太,平内 龍太,読売ジャイアンツ,66,投手,兵庫,1998年8月1日,185cm,95kg,A,右投右打,2020年,1位,神戸国際大付高－亜細亜大－巨人,神戸国際大付高,亜細亜大,巨人,1998-8-1,
1900016,https://baseball.yahoo.co.jp/npb/player/1900016/top,堀田 賢慎,堀田 賢慎,読売ジャイアンツ,91,投手,岩手,2001年5月21日,186cm,90kg,O,右投右打,2019年,1位,青森山田高－巨人,青森山田高,,巨人,2001-5-21,
1700010,https://baseball.yahoo.co.jp/npb/player/1700010/top,マルティネス,マルティネス,読売ジャイアンツ,92,投手,キューバ,1996年10月11日,193cm,93kg,不明,右投左打,--,--,エイデデピナールデルリオ高－キューバ・ピナールデルリオ－中日－巨人,エイデデピナールデルリオ高,,巨人,1996-10-11,（セ）22、24、25
1900019,https://baseball.yahoo.co.jp/npb/player/1900019/top,井上 温大,井上 温大,読売ジャイアンツ,97,投手,群馬,2001年5月13日,176cm,86kg,B,左投左打,2019年,4位,前橋商高－巨人,前橋商高,,巨人,2001-5-13,
1950836,https://baseball.yahoo.co.jp/npb/player/1950836/top,冨重 英二郎,冨重 英二郎,読売ジャイアンツ,11,投手,神奈川,2001年6月1日,178cm,82kg,A,左投左打,2025年,（育）1位,東海大相模高（甲）－国際武道大－バイタルネット－BCリーグ・神奈川－巨人,東海大相模高,国際武道大,巨人,2001-6-1,
2121490,https://baseball.yahoo.co.jp/npb/player/2121490/top,林 燦,林 燦,読売ジャイアンツ,12,投手,北海道,2003年4月22日,183cm,85kg,A,右投右打,2025年,（育）2位,広陵高－立正大－巨人,広陵高,立正大,巨人,2003-4-22,
2111182,https://baseball.yahoo.co.jp/npb/player/2111182/top,堀江 正太郎,堀江 正太郎,読売ジャイアンツ,14,投手,東京,2006年10月8日,187cm,96kg,O,右投右打,2024年,（育）2位,文星芸大付高（甲）－巨人,文星芸大付高,,巨人,2006-10-8,
2117727,https://baseball.yahoo.co.jp/npb/player/2117727/top,鈴木 圭晋,鈴木 圭晋,読売ジャイアンツ,15,投手,神奈川,2006年7月9日,183cm,89kg,B,右投左打,2024年,（育）3位,横浜創学館高－巨人,横浜創学館高,,巨人,2006-7-9,
2112123,https://baseball.yahoo.co.jp/npb/player/2112123/top,千葉 隆広,千葉 隆広,読売ジャイアンツ,16,投手,北海道,2005年5月15日,174cm,85kg,AB,左投左打,2023年,（育）6位,旭川明成高－巨人,旭川明成高,,巨人,2005-5-15,
2000015,https://baseball.yahoo.co.jp/npb/player/2000015/top,木下 幹也,木下 幹也,読売ジャイアンツ,18,投手,東京,2002年5月1日,186cm,100kg,A,右投右打,2020年,（育）4位,横浜高（甲）－巨人,横浜高,,巨人,2002-5-1,
2112163,https://baseball.yahoo.co.jp/npb/player/2112163/top,園田 純規,園田 純規,読売ジャイアンツ,19,投手,福岡,2005年7月7日,184cm,80kg,A,右投右打,2023年,（育）5位,福岡工大城東高－巨人,福岡工大城東高,,巨人,2005-7-7,
1850809,https://baseball.yahoo.co.jp/npb/player/1850809/top,松井 颯,松井 颯,読売ジャイアンツ,21,投手,東京,2000年9月14日,180cm,85kg,A,右投右打,2022年,（育）1位,花咲徳栄高（甲）－明星大－巨人,花咲徳栄高,明星大,巨人,2000-9-14,
2107867,https://baseball.yahoo.co.jp/npb/player/2107867/top,田村 朋輝,田村 朋輝,読売ジャイアンツ,23,投手,東京,2004年4月6日,184cm,88kg,A,右投右打,2022年,（育）2位,酒田南高－巨人,酒田南高,,巨人,2004-4-6,
2102924,https://baseball.yahoo.co.jp/npb/player/2102924/top,吉村 優聖歩,吉村 優聖歩,読売ジャイアンツ,26,投手,熊本,2004年12月8日,181cm,84kg,B,左投左打,2022年,（育）3位,明徳義塾高（甲）－巨人,明徳義塾高,,巨人,2004-12-8,
2103725,https://baseball.yahoo.co.jp/npb/player/2103725/top,富田 龍,富田 龍,読売ジャイアンツ,28,投手,香川,1999年11月11日,179cm,85kg,O,左投左打,2021年,（育）8位,志度高－四国学院大－巨人,志度高,四国学院大,巨人,1999-11-11,
2117692,https://baseball.yahoo.co.jp/npb/player/2117692/top,西川 歩,西川 歩,読売ジャイアンツ,29,投手,埼玉,2006年11月15日,169cm,78kg,AB,左投左打,2024年,（育）5位,山村学園高－巨人,山村学園高,,巨人,2006-11-15,
2117711,https://baseball.yahoo.co.jp/npb/player/2117711/top,吹田 志道,吹田 志道,読売ジャイアンツ,30,投手,青森,2007年2月21日,189cm,92kg,B,右投右打,2024年,（育）4位,弘前学院聖愛高－巨人,弘前学院聖愛高,,巨人,2007-2-21,
2106455,https://baseball.yahoo.co.jp/npb/player/2106455/top,森本 哲星,森本 哲星,読売ジャイアンツ,34,投手,鳥取,2004年9月3日,176cm,79kg,B,左投左打,2022年,（育）9位,市船橋高（甲）－巨人,市船橋高,,巨人,2004-9-3,
2114860,https://baseball.yahoo.co.jp/npb/player/2114860/top,黄 錦豪,黄 錦豪,読売ジャイアンツ,41,投手,台湾,2005年12月4日,184cm,77kg,不明,左投左打,--,--,平鎮高－巨人,平鎮高,,巨人,2005-12-4,
2120156,https://baseball.yahoo.co.jp/npb/player/2120156/top,グズマン,グズマン,読売ジャイアンツ,42,投手,ドミニカ共和国,2006年12月30日,189cm,90kg,不明,左投左打,--,--,エリアス・ロドリゲス高－巨人,エリアス・ロドリゲス高,,巨人,2006-12-30,
2101917,https://baseball.yahoo.co.jp/npb/player/2101917/top,河野 優作,河野 優作,読売ジャイアンツ,47,投手,大阪,2003年7月3日,180cm,90kg,A,左投左打,2025年,（育）4位,創志学園高－愛知学院大－巨人,創志学園高,愛知学院大,巨人,2003-7-3,
1800109,https://baseball.yahoo.co.jp/npb/player/1800109/top,板東 湧梧,板東 湧梧,読売ジャイアンツ,50,投手,徳島,1995年12月27日,182cm,78kg,AB,右投右打,2018年,4位,鳴門高（甲）－JR東日本－ソフトバンク－巨人,鳴門高,,巨人,1995-12-27,
2050382,https://baseball.yahoo.co.jp/npb/player/2050382/top,花田 侑樹,花田 侑樹,読売ジャイアンツ,63,投手,広島,2003年6月25日,181cm,78kg,AB,右投左打,2021年,7位,広島新庄高（甲）－巨人,広島新庄高,,巨人,2003-6-25,
2050423,https://baseball.yahoo.co.jp/npb/player/2050423/top,代木 大和,代木 大和,読売ジャイアンツ,68,投手,愛媛,2003年9月8日,184cm,100kg,O,左投左打,2021年,6位,明徳義塾高（甲）－巨人,明徳義塾高,,巨人,2003-9-8,
1950832,https://baseball.yahoo.co.jp/npb/player/1950832/top,石田 隼都,石田 隼都,読売ジャイアンツ,77,投手,栃木,2003年4月5日,183cm,92kg,A,左投左打,2021年,4位,東海大相模高（甲）－巨人,東海大相模高,,巨人,2003-4-5,
2117689,https://baseball.yahoo.co.jp/npb/player/2117689/top,石田 充冴,石田 充冴,読売ジャイアンツ,90,投手,北海道,2006年7月21日,192cm,90kg,O,右投右打,2024年,4位,北星大付高－巨人,北星大付高,,巨人,2006-7-21,
2100478,https://baseball.yahoo.co.jp/npb/player/2100478/top,京本 眞,京本 眞,読売ジャイアンツ,99,投手,大阪,2004年2月6日,190cm,91kg,A,右投右打,2021年,（育）7位,明豊高（甲）－巨人,明豊高,,巨人,2004-2-6,
1000176,https://baseball.yahoo.co.jp/npb/player/1000176/top,甲斐 拓也,甲斐 拓也,読売ジャイアンツ,10,捕手,大分,1992年11月5日,170cm,87kg,O,右投右打,2010年,（育）6位,楊志館高－ソフトバンク－巨人,楊志館高,,巨人,1992-11-5,（ベ）17、20、22（ゴ）17～22、24
1300027,https://baseball.yahoo.co.jp/npb/player/1300027/top,小林 誠司,小林 誠司,読売ジャイアンツ,22,捕手,大阪,1989年6月7日,178cm,86kg,O,右投右打,2013年,1位,広陵高（甲）－同志社大－日本生命－巨人,広陵高,同志社大,巨人,1989-6-7,（ゴ）17
1700044,https://baseball.yahoo.co.jp/npb/player/1700044/top,大城 卓三,大城 卓三,読売ジャイアンツ,24,捕手,沖縄,1993年2月11日,187cm,97kg,B,右投左打,2017年,3位,東海大相模高（甲）－東海大－NTT西日本－巨人,東海大相模高,東海大,巨人,1993-2-11,（ベ）20、23
1700043,https://baseball.yahoo.co.jp/npb/player/1700043/top,岸田 行倫,岸田 行倫,読売ジャイアンツ,27,捕手,兵庫,1996年10月10日,176cm,90kg,A,右投右打,2017年,2位,報徳学園高（甲）－大阪ガス－巨人,報徳学園高,,巨人,1996-10-10,
1600138,https://baseball.yahoo.co.jp/npb/player/1600138/top,郡 拓也,郡 拓也,読売ジャイアンツ,37,捕手,東京,1998年4月25日,179cm,88kg,B,右投右打,2016年,7位,帝京高－日本ハム－巨人,帝京高,,巨人,1998-4-25,
1900020,https://baseball.yahoo.co.jp/npb/player/1900020/top,山瀬 慎之助,山瀬 慎之助,読売ジャイアンツ,67,捕手,石川,2001年5月4日,177cm,89kg,B,右投右打,2019年,5位,星稜高（甲）－巨人,星稜高,,巨人,2001-5-4,
1700049,https://baseball.yahoo.co.jp/npb/player/1700049/top,湯浅 大,湯浅 大,読売ジャイアンツ,0,内野手,群馬,2000年1月24日,172cm,73kg,A,右投右打,2017年,8位,健大高崎高（甲）－巨人,健大高崎高,,巨人,2000-1-24,
1500054,https://baseball.yahoo.co.jp/npb/player/1500054/top,増田 大輝,増田 大輝,読売ジャイアンツ,0,内野手,徳島,1993年7月29日,172cm,71kg,A,右投右打,2015年,（育）1位,小松島高－近畿大中退－四国ILplus・徳島－巨人,小松島高,,巨人,1993-7-29,
1600059,https://baseball.yahoo.co.jp/npb/player/1600059/top,吉川 尚輝,吉川 尚輝,読売ジャイアンツ,2,内野手,岐阜,1995年2月8日,177cm,82kg,A,右投左打,2016年,1位,岐阜・中京高－中京学院大－巨人,岐阜・中京高,中京学院大,巨人,1995-2-8,（ベ）24（ゴ）24
2107874,https://baseball.yahoo.co.jp/npb/player/2107874/top,門脇 誠,門脇 誠,読売ジャイアンツ,5,内野手,奈良,2001年1月24日,172cm,75kg,A,右投左打,2022年,4位,創価高－創価大－巨人,創価高,創価大,巨人,2001-1-24,
700003,https://baseball.yahoo.co.jp/npb/player/700003/top,坂本 勇人,坂本 勇人,読売ジャイアンツ,6,内野手,兵庫,1988年12月14日,186cm,86kg,AB,右投右打,2006年,（高）1巡目,光星学院高（甲）－巨人,光星学院高,,巨人,1988-12-14,（首）16（安）12（出）16（優）19（ベ）09、12、16、18～21（ゴ）16、17、19～21、24
2116069,https://baseball.yahoo.co.jp/npb/player/2116069/top,石塚 裕惺,石塚 裕惺,読売ジャイアンツ,23,内野手,千葉,2006年4月6日,182cm,94kg,B,右投右打,2024年,1位,花咲徳栄高（甲）－巨人,花咲徳栄高,,巨人,2006-4-6,
1561820,https://baseball.yahoo.co.jp/npb/player/1561820/top,ダルベック,ダルベック,読売ジャイアンツ,29,内野手,アメリカ,1995年6月29日,191cm,102kg,不明,右投右打,--,--,アリゾナ大－レッドソックス－ホワイトソックス－3Aオマハ－巨人,アリゾナ大,,巨人,1995-6-29,
1951153,https://baseball.yahoo.co.jp/npb/player/1951153/top,浦田 俊輔,浦田 俊輔,読売ジャイアンツ,32,内野手,長崎,2002年8月30日,171cm,67kg,O,右投左打,2024年,2位,長崎・海星高（甲）－九州産業大－巨人,長崎・海星高,九州産業大,巨人,2002-8-30,
2110991,https://baseball.yahoo.co.jp/npb/player/2110991/top,小濱 佑斗,小濱 佑斗,読売ジャイアンツ,33,内野手,沖縄,2001年10月5日,180cm,86kg,A,右投右打,2025年,5位,中部商高－沖縄電力－巨人,中部商高,,巨人,2001-10-5,
1750321,https://baseball.yahoo.co.jp/npb/player/1750321/top,泉口 友汰,泉口 友汰,読売ジャイアンツ,35,内野手,和歌山,1999年5月17日,178cm,84kg,O,右投左打,2023年,4位,大阪桐蔭高（甲）－青山学院大－NTT西日本－巨人,大阪桐蔭高,青山学院大,巨人,1999-5-17,（ベ）25（ゴ）25
1700136,https://baseball.yahoo.co.jp/npb/player/1700136/top,リチャード,リチャード,読売ジャイアンツ,52,内野手,沖縄,1999年6月18日,189cm,120kg,O,右投右打,2017年,（育）3位,沖縄尚学高－ソフトバンク－巨人,沖縄尚学高,,巨人,1999-6-18,
2108523,https://baseball.yahoo.co.jp/npb/player/2108523/top,荒巻 悠,荒巻 悠,読売ジャイアンツ,60,内野手,福岡,2002年12月23日,184cm,100kg,O,右投左打,2024年,3位,祐誠高－上武大－巨人,祐誠高,上武大,巨人,2002-12-23,
1800024,https://baseball.yahoo.co.jp/npb/player/1800024/top,増田 陸,増田 陸,読売ジャイアンツ,61,内野手,大阪,2000年6月17日,179cm,92kg,A,右投右打,2018年,2位,明秀日立高（甲）－巨人,明秀日立高,,巨人,2000-6-17,
2107764,https://baseball.yahoo.co.jp/npb/player/2107764/top,宇都宮 葵星,宇都宮 葵星,読売ジャイアンツ,68,内野手,愛媛,2004年6月23日,175cm,70kg,A,右投左打,2023年,（育）3位,松山工高－四国ILplus・愛媛－巨人,松山工高,,巨人,2004-6-23,
2112330,https://baseball.yahoo.co.jp/npb/player/2112330/top,平山 功太,平山 功太,読売ジャイアンツ,69,内野手,広島,2004年3月16日,185cm,82kg,AB,右投右打,2023年,（育）7位,瀬戸内高－環太平洋大中退－ベイサイドリーグ・千葉－巨人,瀬戸内高,,巨人,2004-3-16,
2119004,https://baseball.yahoo.co.jp/npb/player/2119004/top,藤井 健翔,藤井 健翔,読売ジャイアンツ,99,内野手,岡山,2007年8月15日,181cm,96kg,O,右投右打,2025年,6位,浦和学院高－巨人,浦和学院高,,巨人,2007-8-15,
800043,https://baseball.yahoo.co.jp/npb/player/800043/top,丸 佳浩,丸 佳浩,読売ジャイアンツ,8,外野手,千葉,1989年4月11日,177cm,94kg,AB,右投左打,2007年,（高）3巡目,千葉経大付高（甲）－広島－巨人,千葉経大付高,,巨人,1989-4-11,（安）17（盗）13（出）18（優）17、18（ベ）14、16～20（ゴ）13～19
1100095,https://baseball.yahoo.co.jp/npb/player/1100095/top,松本 剛,松本 剛,読売ジャイアンツ,9,外野手,埼玉,1993年8月11日,180cm,83kg,AB,右投右打,2011年,2位,帝京高（甲）－日本ハム－巨人,帝京高,,巨人,1993-8-11,（首）22（ベ）22
2105013,https://baseball.yahoo.co.jp/npb/player/2105013/top,萩尾 匡也,萩尾 匡也,読売ジャイアンツ,12,外野手,熊本,2000年12月28日,180cm,85kg,B,右投右打,2022年,2位,文徳高－慶応大－巨人,文徳高,慶応大,巨人,2000-12-28,
2118420,https://baseball.yahoo.co.jp/npb/player/2118420/top,キャベッジ,キャベッジ,読売ジャイアンツ,13,外野手,アメリカ,1997年5月3日,188cm,92kg,不明,右投左打,--,--,グレインジャー高－エンゼルス－アストロズ－パイレーツ－巨人,グレインジャー高,,巨人,1997-5-3,
1651302,https://baseball.yahoo.co.jp/npb/player/1651302/top,岡田 悠希,岡田 悠希,読売ジャイアンツ,38,外野手,広島,2000年1月19日,184cm,86kg,O,右投左打,2021年,5位,龍谷大平安高（甲）－法政大－巨人,龍谷大平安高,法政大,巨人,2000-1-19,
2102672,https://baseball.yahoo.co.jp/npb/player/2102672/top,皆川 岳飛,皆川 岳飛,読売ジャイアンツ,39,外野手,群馬,2003年4月30日,182cm,88kg,O,右投左打,2025年,4位,前橋育英高（甲）－中央大－巨人,前橋育英高,中央大,巨人,2003-4-30,
2000007,https://baseball.yahoo.co.jp/npb/player/2000007/top,中山 礼都,中山 礼都,読売ジャイアンツ,40,外野手,愛知,2002年4月12日,182cm,90kg,A,右投左打,2020年,3位,中京大中京高（甲）－巨人,中京大中京高,,巨人,2002-4-12,
2106178,https://baseball.yahoo.co.jp/npb/player/2106178/top,佐々木 俊輔,佐々木 俊輔,読売ジャイアンツ,44,外野手,東京,1999年11月6日,174cm,80kg,A,右投左打,2023年,3位,帝京高－東洋大－日立製作所－巨人,帝京高,東洋大,巨人,1999-11-6,
2102410,https://baseball.yahoo.co.jp/npb/player/2102410/top,浅野 翔吾,浅野 翔吾,読売ジャイアンツ,51,外野手,香川,2004年11月24日,172cm,89kg,A,右投右打,2022年,1位,高松商高（甲）－巨人,高松商高,,巨人,2004-11-24,
2000070,https://baseball.yahoo.co.jp/npb/player/2000070/top,若林 楽人,若林 楽人,読売ジャイアンツ,59,外野手,北海道,1998年4月13日,178cm,83kg,B,右投右打,2020年,4位,駒大苫小牧高－駒沢大－西武－巨人,駒大苫小牧高,駒沢大,巨人,1998-4-13,
2104612,https://baseball.yahoo.co.jp/npb/player/2104612/top,三塚 琉生,三塚 琉生,読売ジャイアンツ,96,外野手,東京,2004年5月10日,182cm,93kg,AB,左投左打,2022年,（育）6位,桐生第一高－巨人,桐生第一高,,巨人,2004-5-10,
700069,https://baseball.yahoo.co.jp/npb/player/700069/top,田中 将大,田中 将大,読売ジャイアンツ,11,投手,兵庫,1988年11月1日,188cm,102kg,A,右投右打,2006年,（高）1巡目,駒大苫小牧高（甲）－楽天－ヤンキース－楽天－巨人,駒大苫小牧高,,巨人,1988-11-1,（率）11、13（防）11、13（勝）11、13（振）12（新）07（優）13（ベ）11、13（沢）11、13（ゴ）11～13
1800028,https://baseball.yahoo.co.jp/npb/player/1800028/top,戸郷 翔征,戸郷 翔征,読売ジャイアンツ,20,投手,宮崎,2000年4月4日,187cm,85kg,AB,右投右打,2018年,6位,聖心ウルスラ高（甲）－巨人,聖心ウルスラ高,,巨人,2000-4-4,（振）22、24
2118993,https://baseball.yahoo.co.jp/npb/player/2118993/top,竹丸 和幸,竹丸 和幸,読売ジャイアンツ,21,投手,広島,2002年2月26日,179cm,76kg,A,左投左打,2025年,1位,崇徳高－城西大－鷺宮製作所－巨人,崇徳高,城西大,巨人,2002-2-26,
2117509,https://baseball.yahoo.co.jp/npb/player/2117509/top,ウィットリー,ウィットリー,読売ジャイアンツ,26,投手,アメリカ,1997年9月15日,201cm,94kg,不明,右投右打,--,--,アラモハイツ高－アストロズ－レイズ－巨人,アラモハイツ高,,巨人,1997-9-15,
1961886,https://baseball.yahoo.co.jp/npb/player/1961886/top,ハワード,ハワード,読売ジャイアンツ,28,投手,アメリカ,1996年7月28日,190cm,95kg,不明,右投右打,--,--,カリフォルニア・ポリテクニック州立大－フィリーズ－レンジャーズ－ジャイアンツ－ガーディアンズ－3Aサクラメント－楽天－巨人,カリフォルニア・ポリテクニック州立大,,巨人,1996-7-28,
2103689,https://baseball.yahoo.co.jp/npb/player/2103689/top,赤星 優志,赤星 優志,読売ジャイアンツ,31,投手,東京,1999年7月2日,175cm,82kg,B,右投右打,2021年,3位,日大鶴ケ丘高－日本大－巨人,日大鶴ケ丘高,日本大,巨人,1999-7-2,
2122496,https://baseball.yahoo.co.jp/npb/player/2122496/top,マタ,マタ,読売ジャイアンツ,42,投手,ベネズエラ,1999年5月3日,190cm,101kg,不明,右投右打,--,--,マダリアガUEP校－3Aウースター－巨人,マダリアガUEP校,,巨人,1999-5-3,
